,carat,cut,table,price,x,y,z
171,0.7,1,62.0,2773,5.87,5.78,3.38
172,1.17,3,61.0,2774,6.83,6.9,4.13
173,0.6,0,55.0,2774,5.41,5.44,3.35
174,0.7,0,55.0,2774,5.68,5.74,3.58
175,0.83,2,54.0,2774,5.85,5.88,3.79
176,0.74,3,61.0,2775,5.8,5.84,3.57
177,0.72,3,56.4,2776,5.62,5.69,3.61
178,0.71,1,58.0,2776,5.74,5.68,3.58
179,0.71,0,57.0,2776,5.79,5.62,3.55
180,0.54,0,56.0,2776,5.25,5.27,3.24
181,0.54,0,57.0,2776,5.24,5.26,3.23
182,0.72,0,56.0,2776,5.72,5.75,3.55
183,0.72,0,56.0,2776,5.79,5.82,3.53
184,0.72,2,60.5,2776,5.8,5.84,3.47
185,0.71,0,56.0,2776,5.8,5.76,3.5
186,0.7,3,58.0,2777,5.66,5.73,3.57
187,0.71,1,58.0,2777,5.67,5.7,3.53
188,0.71,3,57.0,2777,5.64,5.69,3.56
189,0.71,2,58.0,2777,5.61,5.64,3.59
190,0.71,2,60.0,2777,5.87,5.9,3.4
191,0.7,0,55.0,2777,5.7,5.67,3.53
192,0.7,1,60.0,2777,5.71,5.64,3.47
193,0.7,1,59.0,2777,5.79,5.75,3.46
194,0.7,1,57.0,2777,5.73,5.68,3.49
195,0.7,1,59.0,2777,5.67,5.63,3.54
196,0.7,1,57.0,2777,5.73,5.68,3.48
197,0.7,1,58.0,2777,5.78,5.72,3.51
198,0.7,0,57.0,2777,5.76,5.7,3.52
199,0.72,1,61.0,2777,5.82,5.71,3.56
200,0.7,3,63.0,2777,5.76,5.7,3.43
201,0.7,1,58.0,2777,5.71,5.68,3.49
202,0.7,1,58.0,2777,5.77,5.74,3.48
203,0.7,2,59.0,2777,5.64,5.59,3.6
204,0.98,4,60.0,2777,6.05,5.97,4.08
205,0.78,1,58.0,2777,5.83,5.8,3.63
206,0.7,3,60.0,2777,5.6,5.51,3.51
207,0.52,0,55.0,2778,5.19,5.22,3.19
208,0.73,3,56.0,2779,5.82,5.84,3.55
209,0.74,0,56.0,2779,5.84,5.8,3.59
210,0.7,3,57.0,2780,5.61,5.65,3.58
211,0.77,1,58.0,2780,5.9,5.93,3.62
212,0.71,0,54.0,2780,5.68,5.72,3.54
213,0.74,0,55.0,2780,5.81,5.86,3.59
214,0.7,0,59.0,2780,5.64,5.73,3.49
215,1.01,1,60.0,2781,6.39,6.36,3.94
216,0.77,0,56.0,2781,5.83,5.88,3.64
217,0.78,0,56.0,2781,5.92,5.99,3.64
218,0.72,3,63.0,2782,5.83,5.76,3.51
219,0.53,3,64.0,2782,5.34,5.37,3.08
220,0.76,0,56.0,2782,5.9,5.94,3.63
221,0.7,2,62.0,2782,5.81,5.77,3.31
222,0.7,1,60.0,2782,5.62,5.54,3.51
223,0.75,3,58.0,2782,5.78,5.73,3.63
224,0.72,0,57.0,2782,5.76,5.75,3.5
225,0.72,1,59.0,2782,5.73,5.69,3.58
226,0.7,1,60.0,2782,5.68,5.66,3.56
227,0.84,4,67.0,2782,6.39,6.2,3.47
228,0.75,1,59.0,2782,5.88,5.85,3.6
229,0.52,0,55.0,2783,5.14,5.18,3.21
230,0.72,3,54.0,2784,5.69,5.73,3.6
231,0.79,3,56.0,2784,5.85,5.92,3.75
232,0.72,3,58.0,2787,5.66,5.69,3.61
233,0.51,0,57.0,2787,5.11,5.15,3.18
234,0.64,0,56.0,2787,5.54,5.55,3.41
235,0.7,3,60.0,2788,5.74,5.77,3.48
236,0.83,3,60.0,2788,6.07,6.1,3.72
237,0.76,0,56.0,2788,5.85,5.87,3.62
238,0.71,2,56.0,2788,5.64,5.68,3.58
239,0.77,2,64.0,2788,5.97,5.92,3.53
240,0.71,0,55.0,2788,5.71,5.65,3.55
241,1.01,4,58.0,2788,6.29,6.21,4.03
242,1.01,1,59.0,2788,6.31,6.22,3.93
243,0.77,2,52.0,2789,5.81,5.77,3.72
244,0.76,2,54.0,2789,5.76,5.85,3.7
245,0.76,1,58.0,2789,5.92,5.94,3.58
246,0.76,1,58.0,2789,5.82,5.86,3.61
247,1.05,3,56.0,2789,6.49,6.45,4.09
248,0.81,0,56.0,2789,5.97,6.01,3.69
249,0.7,0,56.0,2789,5.72,5.75,3.53
250,0.55,0,57.0,2789,5.28,5.3,3.22
251,0.81,2,61.0,2789,5.94,5.99,3.64
252,0.63,1,57.0,2789,5.48,5.41,3.38
253,0.63,1,60.0,2789,5.55,5.52,3.37
254,0.77,1,60.0,2789,5.9,5.88,3.61
255,1.05,4,59.0,2789,6.41,6.27,4.18
256,0.64,0,56.0,2790,5.54,5.58,3.41
257,0.76,1,59.0,2790,6.0,5.94,3.51
258,0.83,0,55.0,2790,6.02,6.05,3.76
259,0.71,1,62.0,2790,5.77,5.74,3.46
260,0.71,1,59.0,2790,5.73,5.69,3.53
261,0.87,3,55.8,2791,6.07,6.1,3.87
262,0.73,0,56.0,2791,5.74,5.78,3.58
263,0.71,1,59.0,2792,5.83,5.86,3.46
264,0.71,1,59.0,2792,5.7,5.75,3.54
265,0.71,0,55.0,2792,5.72,5.77,3.52
266,0.7,1,60.0,2792,5.71,5.65,3.53
267,0.7,1,60.0,2792,5.78,5.75,3.5
268,0.76,1,57.0,2792,5.91,5.86,3.51
269,0.7,0,56.0,2792,5.73,5.68,3.55
270,0.79,3,57.0,2793,5.98,6.06,3.65
271,0.7,3,57.0,2793,5.66,5.69,3.57
272,0.7,2,55.0,2793,5.6,5.66,3.61
273,0.76,0,56.0,2793,5.87,5.91,3.61
274,0.73,0,55.0,2793,5.72,5.76,3.6
275,0.79,3,56.0,2794,5.91,5.86,3.72
276,0.71,3,56.0,2795,5.81,5.82,3.53
277,0.81,1,60.0,2795,5.91,5.86,3.64
278,0.81,0,55.0,2795,5.92,5.96,3.72
279,0.72,2,60.0,2795,5.74,5.72,3.48
280,0.72,1,60.0,2795,5.73,5.69,3.54
281,0.72,1,57.0,2795,5.72,5.7,3.6
282,0.81,1,59.0,2795,6.17,6.13,3.57
283,0.72,1,57.0,2795,5.73,5.65,3.58
284,1.0,1,60.0,2795,6.61,6.55,3.83
285,0.73,2,58.0,2796,5.7,5.76,3.62
286,0.81,3,59.0,2797,5.94,6.01,3.66
287,0.81,3,60.0,2797,6.07,6.1,3.67
288,0.71,1,60.0,2797,5.67,5.71,3.57
289,0.71,1,58.0,2797,5.73,5.75,3.52
290,0.71,1,60.0,2797,5.74,5.69,3.52
291,0.57,0,55.0,2797,5.34,5.35,3.31
292,0.51,0,56.0,2797,5.12,5.16,3.17
293,0.72,0,58.0,2797,5.72,5.75,3.55
294,0.74,0,58.0,2797,5.77,5.81,3.58
295,0.74,0,56.0,2797,5.81,5.82,3.58
296,0.7,4,66.0,2797,5.81,5.9,3.44
297,0.8,1,57.0,2797,6.03,6.01,3.67
298,1.01,4,60.0,2797,6.19,6.05,4.13
299,0.8,3,60.0,2797,5.92,5.82,3.72
300,0.77,0,59.0,2798,5.87,5.91,3.62
301,0.83,3,62.0,2799,6.19,6.25,3.61
302,0.82,0,54.0,2799,5.97,6.02,3.74
303,0.78,0,57.0,2799,5.91,5.86,3.64
304,0.6,3,56.0,2800,5.43,5.46,3.35
305,0.9,2,59.0,2800,6.07,6.11,3.79
306,0.7,1,58.0,2800,5.6,5.66,3.5
307,0.9,3,56.0,2800,6.17,6.23,3.8
308,0.83,0,57.0,2800,5.99,6.08,3.76
309,0.83,0,57.0,2800,6.03,6.07,3.74
310,0.83,3,59.0,2800,5.95,6.02,3.74
311,0.74,1,60.0,2800,5.74,5.68,3.59
312,0.79,0,59.0,2800,5.92,5.95,3.67
313,0.61,0,56.0,2800,5.43,5.45,3.39
314,0.76,4,70.0,2800,5.89,5.8,3.46
315,0.96,0,55.0,2801,6.37,6.41,3.88
316,0.73,0,55.0,2801,5.8,5.76,3.61
317,0.73,1,58.0,2801,5.76,5.7,3.59
318,0.75,0,57.0,2801,5.93,5.96,3.59
319,0.71,1,58.0,2801,5.7,5.67,3.53
320,0.71,2,60.0,2801,5.9,5.87,3.4
321,0.71,2,58.0,2801,5.64,5.61,3.59
322,0.71,1,57.0,2801,5.69,5.64,3.56
323,1.04,1,58.0,2801,6.46,6.41,4.0
324,1.0,1,58.0,2801,6.45,6.34,3.98
325,0.87,3,58.0,2802,6.19,6.23,3.72
326,0.53,0,54.0,2802,5.22,5.25,3.24
327,0.72,1,55.0,2802,5.79,5.61,3.59
328,0.72,1,58.0,2802,5.83,5.7,3.6
329,0.7,3,58.0,2803,5.63,5.65,3.55
330,0.74,3,56.0,2803,5.74,5.79,3.66
331,0.71,0,56.0,2803,5.75,5.71,3.51
332,0.73,0,54.0,2803,5.84,5.89,3.55
333,0.7,2,58.0,2803,5.56,5.59,3.63
334,0.71,1,58.0,2803,5.7,5.67,3.56
335,0.71,1,62.0,2803,5.85,5.81,3.38
336,0.71,1,61.0,2803,5.7,5.65,3.54
337,0.77,1,57.0,2803,5.93,5.88,3.62
338,0.71,1,60.0,2803,5.81,5.77,3.47
339,0.78,1,58.0,2803,6.03,5.95,3.64
340,0.71,3,55.0,2803,5.66,5.64,3.59
341,0.91,0,57.0,2803,6.21,6.15,3.85
342,0.71,3,58.0,2804,5.62,5.66,3.6
343,0.71,3,57.0,2804,5.66,5.68,3.63
344,0.8,3,56.0,2804,5.88,5.96,3.7
345,0.7,3,58.0,2804,5.69,5.73,3.56
346,0.72,0,57.0,2804,5.74,5.77,3.55
347,0.72,3,58.0,2804,5.75,5.7,3.56
348,0.82,0,56.0,2804,6.01,6.08,3.72
349,0.7,0,59.0,2804,5.68,5.7,3.47
350,0.72,0,56.0,2804,5.74,5.77,3.58
351,0.72,0,54.0,2804,5.77,5.8,3.56
352,0.9,4,59.0,2804,5.93,5.84,3.96
353,0.74,1,58.0,2805,5.85,5.78,3.59
354,0.74,1,56.0,2805,5.8,5.77,3.58
355,0.73,0,58.0,2805,5.77,5.81,3.58
356,0.57,4,66.0,2805,5.34,5.43,3.16
357,0.73,1,57.0,2805,5.75,5.7,3.58
358,0.72,0,56.0,2805,5.74,5.7,3.59
359,0.74,4,68.0,2805,5.82,5.75,3.53
360,0.82,2,57.0,2805,5.92,5.89,3.78
361,0.81,3,60.0,2806,5.89,5.94,3.69
362,0.75,3,58.0,2806,5.85,5.9,3.56
363,0.7,0,55.0,2806,5.72,5.74,3.53
364,0.71,3,58.0,2807,5.66,5.72,3.54
365,0.71,3,57.0,2807,5.84,5.9,3.52
366,0.93,1,57.0,2807,6.21,6.19,3.84
367,0.8,3,57.0,2808,5.87,5.91,3.7
368,0.7,3,57.0,2808,5.64,5.71,3.52
369,1.0,4,59.0,2808,6.16,6.09,4.07
370,0.75,3,56.0,2808,5.78,5.74,3.65
371,0.58,0,56.0,2808,5.41,5.43,3.3
372,0.73,3,57.0,2808,5.74,5.7,3.61
373,0.81,3,59.0,2809,5.85,5.79,3.67
374,0.81,1,57.0,2809,6.15,6.05,3.61
375,0.71,1,54.0,2809,5.84,5.8,3.53
376,1.2,4,56.0,2809,6.73,6.66,4.33
377,0.7,3,56.0,2810,5.63,5.7,3.5
378,0.7,3,60.0,2810,5.77,5.84,3.48
379,0.74,0,55.0,2810,5.81,5.85,3.6
380,0.7,2,61.0,2810,5.57,5.61,3.51
381,0.8,2,57.0,2810,5.84,5.93,3.69
382,0.75,3,58.0,2811,5.72,5.76,3.64
383,0.83,3,54.0,2811,5.98,5.95,3.79
384,1.0,4,59.0,2811,6.14,6.07,4.01
385,0.99,4,56.0,2811,6.21,6.06,4.18
386,0.7,3,60.0,2812,5.57,5.64,3.53
387,0.7,3,58.0,2812,5.75,5.85,3.45
388,0.7,2,59.0,2812,5.49,5.53,3.5
389,0.7,3,58.0,2812,5.63,5.69,3.49
390,0.32,1,58.0,554,4.37,4.34,2.73
391,0.32,1,58.0,554,4.39,4.34,2.74
392,0.32,0,57.0,554,4.37,4.35,2.72
393,0.32,1,59.0,554,4.39,4.36,2.67
394,0.32,3,56.0,554,4.39,4.36,2.76
395,0.32,0,57.0,554,4.47,4.42,2.7
396,0.3,1,59.0,554,4.31,4.29,2.62
397,0.3,1,55.0,554,4.41,4.38,2.64
398,0.3,1,58.0,554,4.28,4.24,2.68
399,0.3,3,56.0,554,4.29,4.27,2.71
400,0.3,2,55.0,554,4.26,4.2,2.7
401,0.3,0,57.0,554,4.27,4.22,2.67
402,0.3,3,60.0,554,4.25,4.23,2.69
403,0.32,2,55.0,554,4.36,4.34,2.78
404,0.33,0,56.0,554,4.85,4.79,2.95
405,0.29,3,55.0,555,4.28,4.33,2.66
406,0.29,3,55.0,555,4.2,4.25,2.63
407,0.31,3,58.0,555,4.32,4.35,2.68
408,0.34,0,56.0,555,4.47,4.5,2.76
409,0.34,0,57.0,555,4.54,4.57,2.75
410,0.34,0,55.0,555,4.48,4.52,2.78
411,0.34,0,56.0,555,4.5,4.53,2.8
412,0.3,0,56.0,555,4.29,4.31,2.68
413,0.29,0,56.0,555,4.26,4.31,2.64
414,0.35,0,56.0,555,4.56,4.58,2.77
415,0.43,3,62.0,555,4.94,5.0,2.9
416,0.32,3,58.0,556,4.37,4.42,2.7
417,0.36,0,56.0,556,4.54,4.57,2.82
418,0.3,0,56.0,556,4.28,4.3,2.66
419,0.26,0,57.0,556,4.09,4.12,2.52
420,0.7,3,58.0,2812,5.64,5.72,3.54
421,0.7,3,61.0,2812,5.66,5.71,3.46
422,0.71,0,57.0,2812,5.69,5.72,3.56
423,0.99,4,61.0,2812,6.72,6.67,3.68
424,0.73,1,60.0,2812,5.92,5.89,3.46
425,0.51,0,57.0,2812,5.15,5.11,3.18
426,0.91,1,58.0,2813,6.3,6.29,3.77
427,0.84,3,55.0,2813,6.0,5.95,3.79
428,0.91,2,58.0,2813,6.09,6.05,3.9
429,0.76,1,59.0,2814,5.86,5.81,3.63
430,0.76,0,57.0,2814,5.88,5.85,3.62
431,0.75,1,59.0,2814,5.86,5.83,3.57
432,0.55,3,56.0,2815,5.23,5.27,3.23
433,0.76,3,62.0,2815,5.93,6.01,3.49
434,0.74,1,58.0,2815,5.79,5.81,3.58
435,0.7,0,56.0,2815,5.75,5.81,3.49
436,0.7,0,56.0,2815,5.7,5.76,3.52
437,0.7,0,55.0,2815,5.73,5.79,3.54
438,0.7,0,56.0,2815,5.72,5.77,3.53
439,0.9,4,56.0,2815,6.08,6.04,3.94
440,0.95,4,60.0,2815,6.62,6.53,3.68
441,0.89,1,59.0,2815,6.26,6.23,3.76
442,0.72,1,58.0,2815,5.99,5.92,3.47
443,0.96,4,63.0,2815,6.73,6.65,3.55
444,1.02,1,58.0,2815,6.55,6.5,3.94
445,0.78,3,56.0,2816,5.91,5.95,3.64
446,0.61,0,57.0,2816,5.52,5.54,3.32
447,0.71,2,55.0,2816,5.61,5.69,3.58
448,0.78,1,59.0,2816,5.96,5.88,3.64
449,0.87,0,56.0,2816,6.16,6.13,3.85
450,0.83,0,55.0,2816,6.04,6.0,3.76
451,0.71,1,56.0,2817,5.78,5.73,3.53
452,0.71,0,56.0,2817,5.84,5.89,3.53
453,0.71,0,57.0,2817,5.66,5.64,3.54
454,0.71,1,58.0,2817,5.69,5.65,3.53
455,0.63,0,56.0,2817,5.48,5.52,3.38
456,0.71,1,59.0,2817,5.86,5.83,3.46
457,0.71,1,59.0,2817,5.75,5.7,3.54
458,0.71,0,55.0,2817,5.77,5.72,3.52
459,0.71,1,58.0,2817,5.77,5.73,3.53
460,0.9,0,55.0,2817,6.2,6.16,3.88
461,0.71,2,64.0,2817,5.6,5.54,3.5
462,0.7,1,61.0,2818,5.66,5.63,3.52
463,0.7,1,60.0,2818,5.78,5.73,3.41
464,0.7,1,60.0,2818,5.64,5.6,3.54
465,1.0,1,60.0,2818,6.43,6.39,3.93
466,0.86,1,62.0,2818,6.36,6.22,3.73
467,0.8,0,57.0,2818,6.07,6.0,3.68
468,0.7,0,57.0,2818,5.66,5.61,3.54
469,0.7,1,57.0,2818,5.91,5.83,3.5
470,0.7,1,60.0,2818,5.69,5.64,3.5
471,0.7,1,57.0,2818,5.68,5.64,3.55
472,1.0,4,62.0,2818,6.34,6.12,4.08
473,0.72,3,58.0,2819,5.64,5.68,3.61
474,0.72,0,56.0,2819,5.73,5.77,3.58
475,0.7,2,63.0,2819,5.76,5.79,3.45
476,0.86,2,60.0,2819,5.97,5.95,3.83
477,0.71,0,58.0,2820,5.66,5.69,3.57
478,0.75,0,57.0,2821,5.8,5.78,3.59
479,0.73,1,59.0,2821,5.77,5.73,3.54
480,0.53,0,55.0,2821,5.2,5.21,3.22
481,0.73,1,58.0,2821,5.83,5.76,3.55
482,0.73,2,57.0,2821,5.72,5.7,3.63
483,0.73,1,61.0,2821,5.92,5.85,3.51
484,0.73,1,59.0,2821,5.77,5.68,3.56
485,0.73,1,55.0,2821,5.84,5.82,3.6
486,0.73,3,58.0,2821,5.76,5.7,3.62
487,0.7,1,60.0,2822,5.74,5.71,3.48
488,0.72,1,59.0,2822,5.84,5.8,3.51
489,0.72,1,60.0,2822,5.8,5.76,3.52
490,0.72,1,59.0,2822,5.77,5.7,3.58
491,0.7,1,60.0,2822,5.73,5.7,3.44
492,0.6,0,55.0,2822,5.37,5.4,3.34
493,0.74,0,57.0,2822,5.85,5.89,3.57
494,0.73,0,55.0,2822,5.75,5.78,3.58
495,0.71,1,60.0,2822,5.71,5.67,3.57
496,0.71,1,58.0,2822,5.75,5.73,3.52
497,0.7,1,60.0,2822,5.82,5.75,3.48
498,0.7,0,56.0,2822,5.75,5.72,3.48
499,0.9,2,61.0,2822,6.04,6.03,3.86
500,0.71,0,56.0,2822,5.86,5.83,3.52
501,0.7,1,59.0,2822,5.73,5.68,3.51
502,0.7,1,56.0,2822,5.71,5.66,3.56
503,0.7,0,58.0,2822,5.82,5.77,3.46
504,0.7,2,64.0,2822,5.71,5.66,3.49
505,0.7,0,57.0,2822,5.62,5.59,3.51
506,0.7,0,56.0,2822,5.73,5.63,3.51
507,0.7,1,62.0,2822,5.72,5.68,3.46
508,0.7,1,58.0,2822,5.8,5.72,3.49
509,0.7,0,54.0,2822,5.75,5.71,3.52
510,0.79,3,59.0,2823,5.86,5.9,3.69
511,0.9,2,57.0,2823,6.06,6.13,3.89
512,0.71,1,58.0,2823,5.71,5.66,3.54
513,0.61,0,54.0,2823,5.51,5.59,3.4
514,0.9,4,54.0,2823,6.05,5.98,3.96
515,0.71,0,56.0,2823,5.77,5.73,3.47
516,0.71,1,59.0,2824,5.74,5.69,3.5
517,0.77,0,57.0,2824,5.84,5.86,3.63
518,0.74,2,58.0,2824,5.73,5.75,3.62
519,0.82,0,54.0,2824,6.02,5.97,3.74
520,0.82,1,60.0,2824,6.05,6.03,3.67
