,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,RainToday,RISK_MM,RainTomorrow,year,quarter,month,day
293,11.5,20.2,8.4,6.0,50.0,5.0,17.0,13.0,77.0,55.0,8.0,1.0,15.5,1,28.8,1,2009,3,9,22
294,9.3,16.8,28.8,0.0,56.0,2.0,26.0,30.0,82.0,54.0,5.0,8.0,13.1,1,1.4,1,2009,3,9,23
296,5.3,20.6,0.0,4.0,44.0,5.0,22.0,13.0,60.0,57.0,2.0,7.0,15.2,0,6.0,1,2009,3,9,25
297,6.8,12.2,6.0,1.0,56.0,0.0,37.0,24.0,79.0,72.0,7.0,6.0,7.9,1,1.6,1,2009,3,9,26
298,4.5,12.9,1.6,0.0,61.0,0.0,35.0,37.0,78.0,72.0,5.0,8.0,6.7,1,0.0,0,2009,3,9,27
304,8.5,13.5,3.2,9.0,31.0,13.0,17.0,11.0,87.0,75.0,7.0,7.0,9.6,1,1.8,1,2009,4,10,3
307,5.2,16.2,0.0,12.0,37.0,9.0,6.0,15.0,85.0,77.0,2.0,2.0,8.8,0,3.6,1,2009,4,10,6
314,6.6,17.7,2.0,5.0,50.0,11.0,17.0,30.0,70.0,71.0,7.0,6.0,10.8,1,7.0,1,2009,4,10,13
315,9.5,15.1,7.0,0.0,65.0,0.0,26.0,30.0,88.0,60.0,8.0,1.0,10.3,1,1.4,1,2009,4,10,14
316,9.7,15.7,1.4,1.0,50.0,2.0,15.0,22.0,79.0,84.0,8.0,8.0,11.1,1,6.8,1,2009,4,10,15
353,19.3,21.0,10.6,3.0,37.0,9.0,9.0,9.0,95.0,91.0,8.0,8.0,19.7,1,25.8,1,2009,4,11,21
354,18.3,28.3,25.8,4.0,61.0,0.0,0.0,46.0,98.0,67.0,8.0,8.0,19.2,1,0.4,0,2009,4,11,22
358,21.0,34.5,0.0,5.0,78.0,1.0,13.0,39.0,48.0,70.0,1.0,4.0,28.2,0,10.2,1,2009,4,11,26
359,15.9,26.2,10.2,5.0,24.0,16.0,11.0,0.0,82.0,56.0,7.0,5.0,17.6,1,0.0,0,2009,4,11,27
360,17.1,26.4,0.0,0.0,52.0,11.0,24.0,24.0,48.0,27.0,2.0,1.0,18.8,0,9.4,1,2009,4,11,28
361,12.8,22.3,9.4,1.0,46.0,1.0,6.0,19.0,94.0,54.0,8.0,4.0,13.5,1,2.4,1,2009,4,11,29
362,13.2,23.9,2.4,12.0,50.0,12.0,9.0,24.0,82.0,35.0,3.0,1.0,15.9,1,0.0,0,2009,4,11,30
370,18.2,24.9,0.0,7.0,54.0,7.0,13.0,28.0,58.0,45.0,7.0,5.0,21.0,0,1.2,1,2009,4,12,8
372,14.2,27.4,0.0,0.0,52.0,0.0,6.0,19.0,52.0,26.0,7.0,7.0,19.7,0,1.0,0,2009,4,12,10
373,9.2,22.6,1.0,7.0,41.0,7.0,19.0,20.0,62.0,30.0,6.0,3.0,12.8,0,0.0,0,2009,4,12,11
387,18.8,28.3,9.8,12.0,31.0,6.0,0.0,6.0,84.0,49.0,5.0,1.0,20.9,1,0.0,0,2009,4,12,25
410,16.8,25.6,0.0,1.0,57.0,0.0,20.0,35.0,51.0,24.0,4.0,1.0,18.0,0,0.0,0,2010,1,1,17
411,10.5,22.6,0.0,7.0,52.0,2.0,22.0,30.0,44.0,30.0,2.0,8.0,14.4,0,0.0,0,2010,1,1,18
429,19.2,26.1,52.2,12.0,33.0,15.0,9.0,13.0,83.0,70.0,4.0,8.0,22.1,1,5.6,1,2010,1,2,5
432,23.0,34.0,0.0,4.0,37.0,13.0,7.0,11.0,66.0,32.0,7.0,7.0,25.9,0,0.0,0,2010,1,2,8
435,20.8,27.1,0.0,3.0,24.0,3.0,9.0,11.0,82.0,59.0,8.0,1.0,21.2,0,0.0,0,2010,1,2,13
436,20.5,30.3,0.0,12.0,41.0,12.0,7.0,20.0,80.0,43.0,8.0,8.0,21.7,0,0.0,0,2010,1,2,14
441,15.7,31.8,0.0,11.0,57.0,5.0,7.0,19.0,70.0,35.0,1.0,2.0,19.6,0,0.6,0,2010,1,2,20
442,19.6,34.7,0.6,15.0,59.0,12.0,6.0,24.0,71.0,59.0,3.0,8.0,23.8,0,3.6,1,2010,1,2,21
443,20.2,26.4,3.6,14.0,46.0,11.0,4.0,9.0,83.0,70.0,8.0,8.0,21.3,1,0.2,0,2010,1,2,22
453,18.8,30.3,20.6,2.0,39.0,5.0,9.0,7.0,87.0,48.0,8.0,1.0,22.3,1,5.8,1,2010,1,3,6
454,18.3,22.9,5.8,12.0,39.0,14.0,15.0,13.0,89.0,82.0,8.0,7.0,19.0,1,66.0,1,2010,1,3,7
456,15.7,22.4,6.2,11.0,46.0,1.0,20.0,17.0,90.0,67.0,8.0,8.0,16.3,1,0.0,0,2010,1,3,9
475,18.2,26.3,11.0,1.0,26.0,1.0,7.0,20.0,94.0,61.0,7.0,5.0,18.2,1,0.4,0,2010,1,3,29
484,15.7,23.4,3.0,5.0,30.0,1.0,17.0,9.0,87.0,69.0,8.0,3.0,19.2,1,3.2,1,2010,2,4,7
485,13.5,23.1,3.2,11.0,46.0,2.0,13.0,20.0,84.0,53.0,1.0,1.0,17.5,1,0.0,0,2010,2,4,8
487,14.1,18.6,0.2,1.0,22.0,3.0,6.0,11.0,84.0,79.0,8.0,8.0,16.7,0,7.0,1,2010,2,4,10
488,14.2,18.7,7.0,1.0,57.0,0.0,17.0,35.0,86.0,43.0,8.0,2.0,15.9,1,0.0,0,2010,2,4,11
496,11.2,25.9,0.0,13.0,17.0,9.0,0.0,9.0,81.0,46.0,2.0,3.0,14.6,0,0.0,0,2010,2,4,19
497,11.8,25.2,0.0,8.0,26.0,14.0,2.0,13.0,79.0,49.0,1.0,1.0,16.4,0,0.0,0,2010,2,4,20
501,15.4,19.8,3.6,4.0,46.0,4.0,11.0,28.0,95.0,86.0,8.0,8.0,17.1,1,17.0,1,2010,2,4,24
504,7.1,16.1,0.0,8.0,17.0,8.0,0.0,7.0,84.0,58.0,6.0,7.0,9.7,0,1.6,1,2010,2,4,27
505,9.7,17.3,1.6,11.0,30.0,1.0,6.0,17.0,84.0,50.0,1.0,1.0,12.4,1,0.4,0,2010,2,4,28
506,10.5,17.7,0.4,0.0,28.0,2.0,7.0,11.0,79.0,69.0,5.0,8.0,14.3,0,0.0,0,2010,2,4,29
511,8.0,25.3,0.2,1.0,61.0,5.0,7.0,26.0,92.0,29.0,8.0,4.0,11.9,0,3.0,1,2010,2,5,4
513,7.1,15.3,0.0,0.0,35.0,0.0,11.0,9.0,78.0,68.0,8.0,8.0,10.8,0,0.0,0,2010,2,5,6
514,5.7,17.5,0.0,0.0,20.0,1.0,2.0,6.0,89.0,56.0,8.0,6.0,10.2,0,0.0,0,2010,2,5,7
515,9.6,19.3,0.0,9.0,13.0,16.0,0.0,0.0,84.0,59.0,6.0,1.0,13.0,0,0.0,0,2010,2,5,8
516,5.7,19.5,0.0,8.0,17.0,9.0,7.0,4.0,99.0,54.0,8.0,1.0,9.2,0,0.0,0,2010,2,5,9
532,10.2,14.9,10.4,14.0,26.0,9.0,7.0,7.0,88.0,99.0,7.0,7.0,13.5,1,13.4,1,2010,2,5,25
534,5.7,16.6,0.2,9.0,11.0,9.0,0.0,9.0,92.0,59.0,8.0,8.0,9.7,0,0.0,0,2010,2,5,27
535,6.4,17.0,0.0,8.0,22.0,3.0,0.0,13.0,96.0,63.0,8.0,6.0,9.4,0,28.0,1,2010,2,5,28
536,9.4,15.0,28.0,5.0,26.0,12.0,9.0,11.0,99.0,89.0,8.0,8.0,12.1,1,5.8,1,2010,2,5,29
537,8.8,20.2,5.8,12.0,46.0,9.0,11.0,31.0,99.0,47.0,8.0,1.0,10.8,1,0.0,0,2010,2,5,30
546,3.1,12.2,0.0,1.0,19.0,1.0,2.0,11.0,89.0,49.0,7.0,7.0,5.3,0,0.0,0,2010,2,6,8
547,5.3,8.4,0.0,1.0,37.0,1.0,11.0,13.0,81.0,92.0,7.0,8.0,7.8,0,2.4,1,2010,2,6,9
549,7.2,13.2,0.0,0.0,28.0,2.0,6.0,13.0,82.0,66.0,7.0,7.0,9.2,0,0.0,0,2010,2,6,11
553,-0.3,12.8,0.0,9.0,11.0,13.0,2.0,9.0,92.0,65.0,6.0,1.0,3.4,0,0.0,0,2010,2,6,15
554,1.5,15.5,0.0,4.0,52.0,14.0,4.0,9.0,91.0,73.0,1.0,7.0,7.4,0,11.6,1,2010,2,6,16
556,3.0,12.2,2.2,0.0,24.0,0.0,7.0,13.0,88.0,70.0,7.0,2.0,6.9,1,1.8,1,2010,2,6,18
558,3.6,13.1,0.0,11.0,39.0,15.0,0.0,2.0,98.0,86.0,8.0,8.0,7.7,0,0.4,0,2010,2,6,20
562,3.4,17.0,0.0,8.0,24.0,14.0,4.0,17.0,85.0,56.0,3.0,1.0,8.3,0,0.0,0,2010,2,6,24
563,7.0,16.1,0.0,6.0,31.0,12.0,9.0,2.0,83.0,95.0,8.0,8.0,12.1,0,10.2,1,2010,2,6,25
564,6.2,12.1,10.2,1.0,35.0,5.0,4.0,4.0,86.0,71.0,7.0,8.0,7.6,1,0.2,0,2010,2,6,26
565,0.6,11.9,0.2,0.0,22.0,11.0,2.0,11.0,99.0,54.0,1.0,2.0,2.8,0,0.0,0,2010,2,6,27
566,-0.6,8.3,0.0,4.0,52.0,2.0,7.0,9.0,99.0,70.0,8.0,7.0,2.3,0,0.0,0,2010,2,6,28
567,2.3,9.4,0.0,5.0,20.0,5.0,9.0,13.0,71.0,57.0,8.0,8.0,6.5,0,0.2,0,2010,2,6,29
568,5.1,9.8,0.2,5.0,24.0,4.0,6.0,9.0,81.0,78.0,8.0,8.0,6.3,0,1.2,1,2010,2,6,30
569,3.2,11.9,1.2,6.0,13.0,7.0,0.0,6.0,99.0,67.0,7.0,7.0,5.5,1,0.2,0,2010,3,7,1
570,0.2,10.9,0.2,13.0,19.0,9.0,2.0,7.0,99.0,70.0,8.0,4.0,3.2,0,0.0,0,2010,3,7,2
573,1.8,12.1,0.2,12.0,22.0,16.0,7.0,0.0,99.0,70.0,8.0,3.0,2.4,0,5.6,1,2010,3,7,5
579,5.0,15.4,13.4,5.0,28.0,11.0,4.0,11.0,99.0,62.0,8.0,1.0,11.8,1,0.2,0,2010,3,7,11
581,3.5,16.3,0.0,1.0,59.0,14.0,7.0,13.0,98.0,93.0,8.0,8.0,6.2,0,21.4,1,2010,3,7,13
582,6.2,10.0,21.4,11.0,57.0,11.0,24.0,19.0,82.0,91.0,8.0,8.0,8.5,1,11.0,1,2010,3,7,14
584,0.6,13.1,0.0,8.0,48.0,4.0,2.0,2.0,99.0,56.0,8.0,2.0,2.9,0,0.0,0,2010,3,7,16
585,-0.4,11.5,0.0,14.0,15.0,16.0,6.0,0.0,99.0,69.0,8.0,4.0,2.8,0,0.0,0,2010,3,7,17
587,5.0,13.5,1.6,11.0,20.0,10.0,4.0,4.0,99.0,61.0,8.0,8.0,7.7,1,0.2,0,2010,3,7,19
588,0.5,11.6,0.2,1.0,19.0,1.0,7.0,11.0,99.0,62.0,8.0,1.0,3.1,0,0.0,0,2010,3,7,20
590,-0.5,13.8,0.0,7.0,19.0,7.0,0.0,11.0,89.0,51.0,7.0,1.0,4.0,0,0.0,0,2010,3,7,22
597,5.8,14.8,6.2,11.0,20.0,2.0,0.0,9.0,99.0,80.0,8.0,8.0,10.3,1,0.0,0,2010,3,7,29
598,8.9,14.9,0.0,6.0,30.0,5.0,2.0,13.0,91.0,86.0,8.0,8.0,11.1,0,2.2,1,2010,3,7,30
599,7.5,12.3,2.2,0.0,30.0,11.0,4.0,19.0,100.0,85.0,8.0,8.0,11.1,1,4.2,1,2010,3,7,31
600,7.5,10.1,4.2,1.0,41.0,2.0,20.0,11.0,86.0,93.0,8.0,8.0,9.3,1,18.6,1,2010,3,8,1
601,5.4,14.7,18.6,0.0,39.0,2.0,15.0,19.0,85.0,56.0,4.0,8.0,7.8,1,0.0,0,2010,3,8,2
604,0.7,12.6,0.2,11.0,22.0,1.0,6.0,13.0,99.0,59.0,8.0,1.0,3.2,0,0.2,0,2010,3,8,6
608,4.4,16.0,7.2,4.0,41.0,5.0,9.0,15.0,86.0,77.0,8.0,8.0,9.7,1,8.2,1,2010,3,8,10
609,7.2,10.4,8.2,6.0,33.0,5.0,11.0,13.0,96.0,85.0,8.0,8.0,7.7,1,10.8,1,2010,3,8,11
611,1.6,15.0,0.0,0.0,20.0,7.0,0.0,9.0,99.0,56.0,8.0,1.0,6.5,0,0.0,0,2010,3,8,13
613,7.2,12.1,1.8,1.0,46.0,5.0,11.0,13.0,83.0,94.0,8.0,8.0,10.7,1,10.2,1,2010,3,8,15
614,6.4,11.8,10.2,0.0,56.0,0.0,17.0,24.0,94.0,65.0,8.0,6.0,7.7,1,3.8,1,2010,3,8,16
616,1.3,11.8,0.2,8.0,31.0,3.0,0.0,20.0,92.0,86.0,4.0,8.0,5.0,0,15.4,1,2010,3,8,18
617,5.0,15.1,15.4,11.0,57.0,11.0,15.0,30.0,85.0,56.0,8.0,6.0,11.6,1,2.0,1,2010,3,8,19
618,4.5,11.7,2.0,0.0,46.0,1.0,20.0,30.0,82.0,58.0,4.0,5.0,6.4,1,0.0,0,2010,3,8,20
619,6.3,12.9,0.0,1.0,39.0,0.0,17.0,19.0,86.0,68.0,8.0,3.0,7.0,0,0.2,0,2010,3,8,21
621,4.1,12.8,0.2,11.0,17.0,1.0,6.0,7.0,91.0,61.0,8.0,8.0,6.4,0,1.8,1,2010,3,8,23
622,6.4,13.3,1.8,1.0,67.0,4.0,19.0,22.0,90.0,55.0,8.0,8.0,9.4,1,1.8,1,2010,3,8,24
623,4.2,10.7,1.8,1.0,65.0,4.0,13.0,24.0,87.0,65.0,8.0,8.0,5.4,1,9.6,1,2010,3,8,25
624,5.4,11.8,9.6,11.0,50.0,1.0,20.0,15.0,84.0,70.0,8.0,8.0,7.3,1,4.0,1,2010,3,8,26
626,0.9,14.4,0.0,2.0,22.0,0.0,6.0,4.0,99.0,58.0,8.0,3.0,4.1,0,0.0,0,2010,3,8,28
627,1.9,15.2,0.0,2.0,15.0,11.0,2.0,6.0,85.0,57.0,5.0,7.0,7.1,0,0.0,0,2010,3,8,29
630,7.1,15.1,0.0,11.0,17.0,7.0,7.0,6.0,86.0,71.0,7.0,8.0,11.2,0,0.8,0,2010,3,9,1
631,10.0,16.8,0.8,9.0,33.0,0.0,0.0,9.0,92.0,68.0,7.0,5.0,10.9,0,0.0,0,2010,3,9,2
633,10.1,17.7,21.8,5.0,70.0,5.0,24.0,24.0,96.0,87.0,8.0,8.0,15.1,1,20.8,1,2010,3,9,4
634,9.8,14.2,20.8,4.0,72.0,0.0,22.0,19.0,81.0,67.0,8.0,7.0,10.6,1,2.4,1,2010,3,9,5
635,6.8,12.8,2.4,11.0,50.0,0.0,11.0,13.0,89.0,64.0,8.0,6.0,9.5,1,1.2,1,2010,3,9,6
638,7.2,14.7,0.0,8.0,39.0,8.0,7.0,11.0,76.0,90.0,8.0,8.0,11.1,0,24.8,1,2010,3,9,9
639,8.1,14.0,24.8,0.0,50.0,0.0,28.0,22.0,91.0,86.0,8.0,8.0,10.9,1,3.2,1,2010,3,9,10
645,7.5,13.4,0.0,2.0,54.0,0.0,20.0,28.0,64.0,49.0,6.0,3.0,10.2,0,0.2,0,2010,3,9,16
647,3.3,13.9,0.0,0.0,31.0,0.0,11.0,19.0,67.0,60.0,6.0,8.0,9.8,0,0.0,0,2010,3,9,18
648,2.4,16.4,0.0,0.0,30.0,0.0,2.0,17.0,90.0,55.0,8.0,2.0,9.0,0,0.0,0,2010,3,9,19
